Plot,Scientific_name,Scientific_name_plot,Ht2019,LA,SLA,BA,RC_BA
YANA_01,Miconia_corymbiformis,Miconia_corymbiformis_YANA_01,10.94250438,157.4016068,89.66120143,2.222456108,1.490790431
MAPI_01,Miconia_explicita,Miconia_explicita_MAPI_01,16.09046378,102.3124872,249.420075,0.242786206,0.492733403
MAPI_02,Miconia_explicita,Miconia_explicita_MAPI_02,8.678519595,80.93873077,263.3638846,0.017591347,0.132632375
RIBR_01,Miconia_rivetii,Miconia_rivetii_RIBR_01,7.766559146,334.0688162,196.596532,0.252903703,0.50289532
BECL_01,Miconia_theaezans,Miconia_theaezans_BECL_01,15.95652035,38.61825641,191.2355507,0.832829145,0.912594732
BECL_03,Miconia_theaezans,Miconia_theaezans_BECL_03,6.47883065,74.9264359,141.7861014,0.428677388,0.654734594
CEDR_01,Miconia_theaezans,Miconia_theaezans_CEDR_01,8.115548623,47.63411818,226.5165091,0.001,0.031622777
CEDR_03,Miconia_theaezans,Miconia_theaezans_CEDR_03,9.989195538,35.38112607,245.7466303,0.065176266,0.255296428
MALO_01,Miconia_theaezans,Miconia_theaezans_MALO_01,8.688407585,24.57458508,294.5460979,0.005410608,0.073556835
RIBR_01,Miconia_theaezans,Miconia_theaezans_RIBR_01,15.13936896,55.23446154,116.5135385,0.132795907,0.364411727
VERD_02,Miconia_theaezans,Miconia_theaezans_VERD_02,13.09577239,44.70458461,174.3467864,0.800485661,0.894698643
VERD_03,Miconia_theaezans,Miconia_theaezans_VERD_03,7.975580043,23.23596795,168.6847158,0.297782927,0.545694903
CEDR_03,Morus_insignis,Morus_insignis_CEDR_03,12.78620621,255.6342195,196.2218748,0.787792843,0.88757695
INTI_01,Morus_insignis,Morus_insignis_INTI_01,16.3983941,383.7216154,362.4087692,0.479450236,0.692423451
MALO_02,Myrcia_cf_splendens,Myrcia_cf_splendens_MALO_02,17.86934274,218.9616795,85.14439487,0.144340475,0.37992167
INTI_02,Myrcia_fallax,Myrcia_fallax_INTI_02,15.62347746,98.15343589,108.4767502,0.13696323,0.370085436
MALO_01,Naucleopsis_capirensis,Naucleopsis_capirensis_MALO_01,13.23432454,60.71489744,213.1996175,0.227013057,0.476458872
MALO_01,Naucleopsis_chiguila,Naucleopsis_chiguila_MALO_01,24.42356215,168.0621667,261.5938944,0.090258742,0.300430927
MALO_02,Naucleopsis_naga,Naucleopsis_naga_MALO_02,16.57851924,289.8607846,256.9343408,0.542729766,0.736701952
BECL_03,Nectandra_acutifolia,Nectandra_acutifolia_BECL_03,4.554908584,54.18,107.0579231,0.004417865,0.066467022
INTI_02,Nectandra_acutifolia,Nectandra_acutifolia_INTI_02,16.87831318,122.7497179,104.0639896,0.233565632,0.483286284
